customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
2678-KDMG,Female,0,Yes,No,51,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),99.69,5093.16,No
4157-BJMY,Male,0,Yes,No,55,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Electronic check,95.57,5259.93,No
3693-LLTK,Male,0,Yes,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,46.88,997.41,No
2663-ZWYG,Female,0,No,No,46,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),94.71,4308.53,Yes
8392-AYYT,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),86.98,5998.25,No
6864-CGFH,Female,0,No,Yes,50,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),75.43,3775.29,No
6530-IEAS,Female,0,Yes,No,65,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,46.81,3042.78,No
1663-OVXI,Female,0,Yes,No,69,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,99.22,6863.84,No
4763-QQZT,Female,0,Yes,No,64,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),22.86,1478.06,No
2291-GBCQ,Male,1,No,No,21,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,104.93,2187.97,Yes
2636-QXQQ,Male,0,No,No,40,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),90.03,3621.22,No
5737-VWEA,Female,0,Yes,No,46,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,41.2,1888.87,No
7528-SBUL,Male,0,Yes,No,59,No,No phone service,DSL,No,No,Yes,Yes,Yes,No,One year,No,Electronic check,63.97,3759.93,No
6791-FWDW,Male,0,No,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),42.26,871.68,No
1202-XQFX,Female,0,Yes,No,3,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,108.51,304.66,Yes
9004-TBFV,Female,0,No,Yes,43,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,93.89,4060.57,No
2930-PPAI,Male,1,No,No,40,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),100.13,3992.72,No
5282-FPCT,Male,0,Yes,No,37,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),103.35,3857.98,Yes
3811-DSZC,Male,0,Yes,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,32.92,469.22,No
9338-TGTI,Female,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,36.89,600.3,No
3976-HGRH,Male,0,No,No,44,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),46.69,2054.27,No
5736-KYYR,Female,1,No,Yes,45,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,97.42,4423.64,Yes
6534-JCGP,Female,0,Yes,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),36.77,264.69,No
9815-YTQB,Male,1,No,No,14,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,91.36,1305.7,Yes
6423-LEEW,Female,0,Yes,No,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),44.45,1429.16,No
8400-CSPP,Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),35.23,1715.38,No
2154-TXVX,Female,1,No,No,9,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,18.25,121.07,No
2648-HDFH,Male,0,No,No,61,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),87.31,5331.73,No
9445-CPYC,Male,0,Yes,No,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),49.92,2727.58,No
3200-RNRB,Male,0,No,Yes,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,37.31,2157.15,No
3869-CPID,Female,0,No,No,62,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,Yes,Credit card (automatic),117.05,7251.27,No
9352-DANU,Male,0,Yes,Yes,10,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),77.72,756.96,Yes
5911-TXHG,Female,0,No,No,34,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,One year,No,Credit card (automatic),102.87,3470.99,No
2218-QAPL,Male,0,No,Yes,3,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,114.61,326.06,Yes
9050-VWVN,Female,0,No,No,65,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),91.33,5947.88,No
2693-FFMS,Male,1,No,No,32,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,One year,No,Mailed check,93.49,2987.83,No
6895-BUAO,Male,0,Yes,No,72,Yes,Yes,DSL,No,Yes,No,Yes,No,No,One year,Yes,Electronic check,90.47,6526.88,No
6600-EPSD,Female,0,No,Yes,34,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,65.8,2225.29,Yes
5642-QQLN,Female,0,Yes,Yes,37,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,61.6,2325.99,Yes
4444-FCIE,Male,0,Yes,No,56,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),79.93,4495.0,No
3327-QNUC,Male,0,No,No,32,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,87.06,2819.05,Yes
1699-ATUW,Female,0,No,No,43,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),118.75,5097.69,Yes
2184-CRYJ,Male,0,Yes,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),38.04,1947.69,No
6854-VZCH,Female,0,Yes,No,19,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,98.8,1895.45,Yes
3733-XROV,Female,0,No,No,62,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),102.95,6369.88,No
2686-BJBZ,Female,0,Yes,No,50,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),83.7,4202.11,No
1784-HAIK,Female,0,Yes,Yes,13,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Electronic check,98.77,1297.82,No
8343-GJWZ,Female,0,Yes,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,Two year,Yes,Electronic check,74.93,2548.52,No
6986-RYXM,Female,0,No,No,44,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),54.18,2385.84,No
7971-ZGYD,Female,0,Yes,No,32,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,100.53,3245.69,Yes
5780-TAHN,Female,0,No,No,60,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),88.75,5312.66,No
5495-NLSW,Female,0,No,Yes,71,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),78.12,5581.61,No
6919-WVSY,Female,1,No,Yes,52,No,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,89.77,4691.56,No
4769-VZZV,Female,0,Yes,No,49,No,No phone service,DSL,No,No,No,Yes,No,Yes,Two year,No,Electronic check,63.03,3081.63,No
5777-FOVK,Female,0,Yes,Yes,14,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),99.2,1374.31,No
3491-EAHU,Female,0,Yes,No,41,No,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,No,Electronic check,87.57,3606.98,No
6691-LLEG,Female,0,Yes,Yes,19,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,82.22,1593.55,No
6315-FMTO,Female,0,No,Yes,67,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),79.45,5305.04,No
7966-HTPM,Female,1,Yes,Yes,6,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,One year,No,Electronic check,98.03,556.77,No
5465-JSQX,Male,0,No,Yes,65,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),44.35,2879.45,No
1830-SZWZ,Male,0,No,No,72,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,77.37,5528.12,No
9932-ZUWI,Female,0,Yes,No,22,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),118.4,2600.52,No
2931-UAZZ,Male,0,Yes,Yes,35,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),87.43,3084.0,No
1512-OBVP,Male,0,No,Yes,11,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,Yes,Electronic check,84.57,947.75,No
4672-HMUA,Male,0,No,No,22,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),97.48,2126.26,No
4343-GEVW,Female,1,No,No,10,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),115.75,1148.51,No
9130-LZPS,Female,0,Yes,No,0,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),90.34, ,Yes
8253-YNEO,Female,0,No,Yes,38,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),118.75,4493.87,Yes
3141-NTEL,Male,1,Yes,No,69,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,101.3,6993.62,No
7617-PUGD,Male,0,Yes,No,30,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),97.5,2898.0,Yes
8421-EWZJ,Female,0,Yes,No,8,Yes,Yes,DSL,Yes,Yes,No,No,No,No,One year,No,Credit card (automatic),88.82,698.13,No
3849-TJZS,Male,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),118.75,6580.22,No
3489-AXEM,Male,1,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,33.81,595.36,No
5611-PXPW,Female,0,Yes,Yes,58,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,97.93,5665.51,Yes
7303-TXLR,Male,0,No,Yes,66,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),89.24,5930.8,No
3427-AASK,Male,0,No,Yes,2,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Electronic check,108.46,218.52,No
6732-LCAA,Female,0,No,No,29,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,104.77,2991.06,No
4913-KLML,Male,0,Yes,Yes,63,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,68.29,4311.66,No
6726-NBSR,Female,1,No,No,69,No,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),89.24,6155.49,No
3082-WQZH,Female,0,Yes,No,1,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,81.84,83.63,Yes
7748-ZJZB,Female,0,No,Yes,19,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,99.16,1898.28,Yes
9306-IGDZ,Female,0,No,No,28,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,94.32,2615.42,Yes
8668-RMKX,Female,1,Yes,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,29.61,190.95,No
8587-YUYD,Female,0,Yes,Yes,3,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,112.61,383.85,Yes
6988-IXCQ,Female,1,No,Yes,39,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Two year,No,Electronic check,102.66,3976.96,No
2122-PDRQ,Male,1,No,No,54,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),118.75,6408.72,No
3143-XWEL,Female,1,Yes,Yes,12,No,No phone service,DSL,No,No,Yes,No,No,No,Two year,No,Electronic check,53.11,622.03,No
4440-WMWY,Male,1,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),33.79,177.38,No
3914-IQQT,Male,1,Yes,Yes,72,No,No phone service,DSL,No,Yes,No,No,Yes,No,One year,Yes,Mailed check,61.09,4366.68,No
1728-VMSQ,Female,0,No,No,25,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,No,Bank transfer (automatic),88.96,2218.33,No
1395-ISLI,Male,0,Yes,No,40,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,No,Mailed check,91.9,3640.72,No
3502-NTSZ,Female,0,No,Yes,41,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),113.65,4621.53,No
6486-PUEC,Female,0,No,Yes,60,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,108.6,6518.85,Yes
5491-YTUD,Female,0,No,Yes,61,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Electronic check,112.74,6868.89,No
4636-WPYG,Female,0,No,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,35.92,2411.84,No
3156-UJZG,Female,0,Yes,No,20,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,76.79,1529.75,No
7541-ZECW,Female,1,Yes,Yes,30,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,91.05,2720.14,Yes
9924-KKRO,Male,0,Yes,No,42,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),116.3,4881.44,No
7731-IJZL,Male,0,Yes,No,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,51.72,1014.87,No
8056-FGNM,Male,0,Yes,No,28,No,No phone service,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),85.4,2394.86,Yes
2191-JIRZ,Male,0,No,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,30.68,1623.02,No
2540-EFSH,Male,0,No,No,57,Yes,Yes,DSL,Yes,No,Yes,No,No,No,One year,Yes,Mailed check,84.42,4819.38,No
2365-TQGY,Female,1,Yes,No,23,No,No phone service,DSL,Yes,No,No,No,No,Yes,One year,Yes,Credit card (automatic),61.05,1406.61,No
2324-DDFS,Male,0,Yes,No,44,Yes,No,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Electronic check,89.69,3941.06,No
7588-LVGJ,Female,0,Yes,Yes,8,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,110.99,929.91,Yes
6977-SGCM,Female,0,No,Yes,65,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,No,Electronic check,96.96,6319.18,No
5748-RZTH,Female,0,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,49.38,57.79,Yes
4072-CMYQ,Female,0,Yes,No,36,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,117.05,4201.68,Yes
8576-XAFU,Female,0,No,No,36,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),42.46,1541.9,No
1133-ZLMM,Female,1,Yes,No,68,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,No,Mailed check,112.62,7665.09,No
2852-OUPV,Female,0,Yes,No,45,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),115.7,5216.65,Yes
6348-DCST,Male,0,Yes,Yes,5,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,No,Electronic check,92.91,446.42,No
7190-IQNO,Female,1,No,Yes,47,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,105.29,4940.28,Yes
4486-AUVV,Female,1,Yes,Yes,7,Yes,No,DSL,No,Yes,No,Yes,No,No,One year,Yes,Electronic check,78.13,538.51,No
4330-PWYK,Male,0,Yes,No,31,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,100.68,3115.06,Yes
2353-PHFL,Male,0,Yes,Yes,66,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,44.78,2955.53,No
8575-UHZD,Female,0,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,29.43,2091.85,No
4719-ZREI,Male,0,No,No,67,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,41.64,2788.67,No
5835-VQIA,Female,0,Yes,Yes,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),35.93,932.99,No
7132-TMPM,Female,0,No,No,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,48.39,1922.58,No
2581-CFRS,Female,0,Yes,No,15,Yes,No,DSL,Yes,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),86.43,1275.95,No
1255-EOYB,Female,0,Yes,Yes,56,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,107.54,6009.66,No
1009-XRME,Male,0,Yes,Yes,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,40.03,2156.51,No
2015-AVAR,Male,1,Yes,No,38,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),93.41,3562.81,Yes
9415-OQKU,Male,0,Yes,No,54,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,85.25,4618.69,No
8449-YVQM,Female,0,Yes,No,29,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,93.62,2697.59,No
5000-BICA,Female,0,No,No,41,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),111.41,4562.47,Yes
1404-PWFQ,Male,0,No,No,4,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,88.05,371.79,Yes
6989-CUWE,Male,0,No,Yes,44,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,48.14,2106.07,No
4636-EJJS,Female,0,Yes,No,63,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,35.07,2177.68,No
8245-INAS,Male,0,Yes,Yes,31,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),118.75,3693.64,Yes
5780-MDAQ,Male,0,Yes,No,11,Yes,No,DSL,No,No,No,No,No,Yes,Two year,Yes,Mailed check,67.01,726.96,No
4419-HGZZ,Female,0,No,Yes,65,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,One year,Yes,Credit card (automatic),90.97,5881.37,No
9865-VVCR,Male,0,No,No,51,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,99.48,5099.65,Yes
5363-AVLE,Female,0,No,No,70,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),113.41,7902.5,No
8901-YQPO,Male,0,Yes,Yes,31,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),97.69,3050.51,Yes
2252-UNBK,Male,0,Yes,Yes,34,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,83.34,2828.32,No
5530-GFBF,Female,0,Yes,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),31.77,184.45,No
7241-ROSB,Female,0,Yes,Yes,21,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,99.58,2071.94,Yes
